Untitled Adhoc Report,,,,,,,,,,,,,,,,
Measures:Unit Sales,,,,,,,,,,,,,,,,
Product:LIQUID HAND SOAP,,,,,,,,,,,,,,,,
Geography,Week Ending 12-08-19,Week Ending 12-15-19,Week Ending 12-22-19,Week Ending 12-29-19,Week Ending 01-05-20,Week Ending 01-12-20,Week Ending 01-19-20,Week Ending 01-26-20,Week Ending 02-02-20,Week Ending 02-09-20,Week Ending 02-16-20,Week Ending 02-23-20,Week Ending 03-01-20,Week Ending 03-08-20,Week Ending 03-15-20,Week Ending 03-22-20
New York - Multi Outlet,292888.0169,297124.253,289172.9991,287698.0351,290195.5902,305236.9385,295341.7549,304725.8864,307993.9881,314999.1954,304289.0995,313876.9173,409154.1736,834071.7593,1227481.533,878251.1202
North Carolina - Multi Outlet,220667.2894,213176.1354,231590.0826,221203.9004,220128.276,204549.5493,204600.1599,204848.4058,231863.6016,224641.2984,223596.2185,212140.0295,297122.6832,555268.1836,801179.3728,582838.4122
Ohio - Multi Outlet,283192.0895,277291.1182,279205.0714,262601.6894,255754.9124,308360.5418,250957.6387,250386.3931,276290.2353,280003.0037,282853.2369,284750.693,346574.215,565296.091,1216200.009,820722.4501
Oklahoma - Multi Outlet,73906.2822,69354.59272,69366.16207,71361.47062,71169.99508,68086.19986,64177.56438,63253.41587,68845.87726,74616.48139,70944.88694,69601.41644,85554.39664,139908.8341,250213.901,208022.2961
Oregon - Multi Outlet,73158.18394,67642.33615,68502.80415,64080.28094,71936.7984,77603.72161,61171.85705,65283.29605,67665.17948,70131.04689,68219.80334,67614.95563,125475.7507,189989.2798,265265.5936,184570.8383
Pennsylvania - Multi Outlet,296060.9914,284900.566,274859.1667,257141.4059,268972.468,269879.4268,273613.9544,271089.9578,286064.5556,286679.8604,280363.7226,281631.8224,366993.6102,670613.5646,1133883.007,764191.822
Rhode Island - Multi Outlet,19522.70221,17867.22965,17554.91465,18872.88428,19648.40951,18289.47528,18883.2173,18446.96202,19568.46893,21257.98854,19541.67204,19682.51892,25955.1931,56403.63244,75348.82925,67304.61413
South Carolina - Multi Outlet,103702.2535,101035.792,113221.3326,111781.7109,111292.6692,107340.1317,102079.6088,95024.69889,106274.0962,115894.0192,109771.4472,103237.3459,134971.0905,248053.3616,404899.4976,324586.161
South Dakota - Multi Outlet,17236.88997,17267.97463,16064.31588,16543.81193,15755.11751,15796.53053,13165.74564,15396.56475,14919.29239,16172.71862,15578.67274,15868.23195,19379.66206,32484.16295,69133.74959,47730.64366
Tennessee - Multi Outlet,146704.4726,141040.9799,144565.1379,141531.1153,143198.0533,162526.5303,134445.7384,134336.8811,145518.4615,155739.3875,149275.6307,146674.587,189279.4044,347623.2681,587299.9715,427357.9413
Texas - Multi Outlet,630199.3211,583080.5997,605967.3031,629818.0207,613572.5166,651054.3809,620599.9768,585500.319,630439.8516,658160.8179,715061.7837,617332.1598,917911.1054,1535023.521,2477218.674,1692539.409
Utah - Multi Outlet,68682.17902,67622.20635,70553.62666,55276.32739,57670.68929,70630.19917,55844.80795,58433.1958,62033.41739,63742.9777,64701.52889,66964.16181,95410.52664,180815.3509,232057.6408,151205.7992
Vermont - Multi Outlet,8536.087653,8741.780109,9790.76881,9610.49435,9950.214825,10358.57949,8958.033994,9261.003276,9201.97629,9491.868753,9763.377473,10283.99816,11338.70575,23895.36505,36529.60253,25614.27012
Virginia - Multi Outlet,193642.0033,188394.531,193655.842,185498.7454,193428.0122,201584.1778,189245.5153,187733.1923,202434.3012,203794.8154,201516.5607,201268.1763,277666.7386,497309.2866,771196.5101,573774.3696
Washington - Multi Outlet,133420.7279,125016.5257,124089.2847,114217.8096,132044.7067,138790.2674,115648.1001,123576.9141,132408.9819,130553.2887,130042.8897,129592.1337,244080.9759,417452.5776,470345.5104,309691.1852
West Virginia - Multi Outlet,36875.23425,35383.41293,34294.22515,34877.73234,34701.71082,44625.77312,35887.303,34032.35027,37833.45644,41357.13127,40707.30046,39660.19192,46432.92263,76186.37043,156671.2411,122755.2746
Wisconsin - Multi Outlet,121313.4992,112118.3064,114207.4787,108066.9947,105333.4547,114822.8303,95994.41208,101630.8765,110957.3438,120204.3791,111094.955,112606.7085,136314.7615,220255.6072,482041.8241,331849.054
Wyoming - Multi Outlet,10424.49633,10059.41769,10162.13513,9474.713997,10096.98331,10401.40357,9140.331348,9729.052493,10347.66906,10244.05803,10254.35624,10158.71925,13264.80792,24665.7152,44177.38448,24916.00878
